condsFile,shapeStim,taskLoop.thisRepN,taskLoop.thisTrialN,taskLoop.thisN,taskLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,trialGrid.started,trialGrid.stopped,trialShape.started,trialShape.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,trialText.started,trialText.stopped,key_resp.rt,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tSwitchCond1.xlsx,square3.png,0,0,0,0,0,19,19,18,,,38.67375840002205,None,38.67375840002205,None,b,1,9.074003901332617e-05,None,38.67375840002205,None,0.3607635999796912,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond1.xlsx,square2.png,0,0,0,0,0,20,20,12,,,39.07618380000349,None,39.07618380000349,None,m,0,0.015769659890793264,None,39.07618380000349,None,0.3755358000053093,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond1.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,0,0,13,39.463154900004156,None,None,None,None,None,None,0,None,None,None,None,,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,1,1,2,,,40.01705669995863,None,40.01705669995863,None,b,1,0.008029499906115234,None,40.01705669995863,None,0.6989562000380829,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,2,2,18,,,40.759882399928756,None,40.759882399928756,None,m,0,0.014234159956686199,None,40.759882399928756,None,0.2672834999393672,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,3,3,1,,,41.07564459997229,None,41.07564459997229,None,b,1,0.015547659946605563,None,41.07564459997229,None,0.3038448999868706,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,4,4,12,,,41.42449859995395,None,41.42449859995395,None,m,0,0.01617485994938761,None,41.42449859995395,None,0.20266169996466488,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,5,5,7,,,41.67347269994207,None,41.67347269994207,None,b,1,1.7240061424672604e-05,None,41.67347269994207,None,0.32909719995222986,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,6,6,20,,,42.043875899980776,None,42.043875899980776,None,m,0,0.013792159967124462,None,42.043875899980776,None,0.2475621000630781,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,7,7,6,,,42.324211600003764,None,42.324211600003764,None,b,1,0.015979759977199137,None,42.324211600003764,None,0.26272539992351085,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,8,8,9,,,42.62521079997532,None,42.62521079997532,None,m,0,0.015716759953647852,None,42.62521079997532,None,0.3471904000034556,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,9,9,3,,,43.00930109992623,None,43.00930109992623,None,b,1,0.014790159999392927,None,43.00930109992623,None,0.30614410003181547,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,10,10,5,,,43.35702649992891,None,43.35702649992891,None,m,0,0.016566359903663397,None,43.35702649992891,None,0.2701509000035003,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,11,11,0,,,43.6753171000164,None,43.6753171000164,None,b,1,0.015259459963999689,None,43.6753171000164,None,0.22442460001911968,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,12,12,10,,,43.94156479998492,None,43.94156479998492,None,m,0,0.015448959893546999,None,43.94156479998492,None,0.2778646999504417,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,13,13,17,,,44.25928589992691,None,44.25928589992691,None,b,1,0.015368559979833663,None,44.25928589992691,None,0.24109749996569008,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,14,14,11,,,44.544413099996746,None,44.544413099996746,None,m,0,0.012776959920302033,None,44.544413099996746,None,0.3073436999693513,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,15,15,16,,,44.89178219996393,None,44.89178219996393,None,b,1,0.014935359940864146,None,44.89178219996393,None,0.21559139993041754,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,16,16,15,,,45.14227920002304,None,45.14227920002304,None,m,0,0.01462185988202691,None,45.14227920002304,None,0.2934964000014588,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,17,17,8,,,45.47540230001323,None,45.47540230001323,None,b,1,0.014915060019120574,None,45.47540230001323,None,0.24040320003405213,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,18,18,4,,,45.757835699943826,None,45.757835699943826,None,m,0,0.015429059858433902,None,45.757835699943826,None,0.3256551999365911,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,19,19,14,,,46.12537129991688,None,46.12537129991688,None,b,1,0.014450559858232737,None,46.12537129991688,None,0.19017379998695105,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,20,20,19,,,46.358667699969374,None,46.358667699969374,None,m,0,0.014639959903433919,None,46.358667699969374,None,0.3816306000808254,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond2.xlsx,,0,1,1,1,,,,,,,,,,,,,,,,,,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond3.xlsx,square2.png,0,2,2,2,0,0,0,11,46.74530259997118,None,None,None,None,None,None,0,None,None,None,None,,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
tSwitchCond3.xlsx,diamond3.png,0,2,2,2,0,1,1,5,,,47.673282200004905,None,47.673282200004905,None,b,0,0.0012327400036156178,None,47.673282200004905,None,0.8442981999833137,,,a,001,2020_Jul_23_1531,tSwitchTest3,2020.1.3,60.03009905529557,
